id;start_date;end_date;language
1;2021-04-03T23:57:33;2021-04-03T21:47:48;ENGLISH
2;2021-04-03T09:25:08;2021-04-03T18:50:37;FRENCH
3;2021-04-03T19:21:20;2021-04-03T07:26:28;SPANISH
4;2021-04-03T23:52:09;2021-04-03T05:18:28;FRENCH
5;2021-04-04T02:08:32;2021-04-03T10:27:30;ENGLISH
6;2021-04-03T11:39:15;2021-04-04T01:39:35;SPANISH
7;2021-04-03T19:43:03;2021-04-03T06:17:12;FRENCH
8;2021-04-03T10:08:56;2021-04-03T06:44:45;FRENCH
9;2021-04-03T11:00:34;2021-04-03T22:32:00;FRENCH
10;2021-04-03T06:57:32;2021-04-03T23:55:01;FRENCH
